CONTAINER ID   IMAGE                                           COMMAND                  CREATED         STATUS                        PORTS                                         NAMES
4a8c1b5666a8   postgres:15                                     "docker-entrypoint.s…"   4 minutes ago   Up 4 minutes                  0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp   postgres_db
e07eba830d52   mysql:8.0                                       "docker-entrypoint.s…"   4 minutes ago   Exited (1) 38 seconds ago                                                   mysql_db
6f157ee18d06   bookstore-microservice-api-gateway              "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8000->8000/tcp                        bookstore-microservice-api-gateway-1
65c768fd3faf   bookstore-microservice-customer-service         "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8001->8000/tcp                        bookstore-microservice-customer-service-1
036462e8f474   bookstore-microservice-cart-service             "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8003->8000/tcp                        bookstore-microservice-cart-service-1
57fc80e4fe7c   bookstore-microservice-recommender-ai-service   "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8011->8000/tcp                        bookstore-microservice-recommender-ai-service-1
68ab813641a5   bookstore-microservice-order-service            "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8007->8000/tcp                        bookstore-microservice-order-service-1
5185cb6f85f2   bookstore-microservice-clothes-service          "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8012->8000/tcp                        bookstore-microservice-clothes-service-1
9741e4a91056   bookstore-microservice-catalog-service          "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8006->8000/tcp                        bookstore-microservice-catalog-service-1
3bf2b223d119   bookstore-microservice-staff-service            "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8013->8000/tcp                        bookstore-microservice-staff-service-1
7aa84186a7cc   bookstore-microservice-book-service             "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8002->8000/tcp                        bookstore-microservice-book-service-1
920dd1077ca9   bookstore-microservice-pay-service              "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8014->8000/tcp                        bookstore-microservice-pay-service-1
a047d605dcdb   bookstore-microservice-ship-service             "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8008->8000/tcp                        bookstore-microservice-ship-service-1
0a3e620e37a1   bookstore-microservice-comment-rate-service     "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8015->8000/tcp                        bookstore-microservice-comment-rate-service-1
892045b0e856   bookstore-microservice-manager-service          "sh -c 'python manag…"   12 hours ago    Exited (255) 14 minutes ago   0.0.0.0:8005->8000/tcp                        bookstore-microservice-manager-service-1
a22b65d13789   caddy:2                                         "caddy run --config …"   14 hours ago    Exited (0) 14 hours ago                                                     deploy-caddy-1
0fd9a7b21dc5   deploy-api-gateway                              "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-api-gateway-1
57509fccf987   deploy-customer-service                         "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-customer-service-1
277b2eff03fd   deploy-cart-service                             "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-cart-service-1
53b8adf0a957   deploy-recommender-ai-service                   "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-recommender-ai-service-1
a7c388b3320b   deploy-order-service                            "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-order-service-1
877d2cedaffd   deploy-book-service                             "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-book-service-1
687586032b2a   deploy-pay-service                              "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-pay-service-1
e2ab6a1c51da   deploy-manager-service                          "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-manager-service-1
e6d94851518e   deploy-clothes-service                          "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-clothes-service-1
4647a2882548   deploy-comment-rate-service                     "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-comment-rate-service-1
62a49fce5d74   deploy-ship-service                             "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-ship-service-1
38429951b2fd   deploy-staff-service                            "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-staff-service-1
1945236ea905   deploy-catalog-service                          "sh -c 'python manag…"   14 hours ago    Exited (137) 14 hours ago                                                   deploy-catalog-service-1
